"HH_ID","ID","age","sex","birth_date","ID_mother","ID_father","date_prev_birth","num_births","ID_partner","union","child","mother","father","parent","HH_adults","age_first_birth","original_ID","hh_position","partner","main_parent","random_inf","enter_pop","comm_hh_prop","child18_hh","disease_state","inf_time","age_group_hh","age_group_pop","age_group","age_group_trans","parent_pop","transition","event_date","age_partner","immigrant","HH_size","HH_children","lipro_child_hh","NH"
362,362,48,"M",1963-05-11,NA,NA,NA,NA,8717314,1,0,0,0,0,2,NA,"000204AFDCAB8482","union",0,NA,NA,NA,NA,NA,NA,NA,3,3,26,26,0,NA,NA,48,NA,2,0,0,0
362,8717314,47,"F",1964-12-16,NA,NA,NA,0,362,1,0,0,0,0,2,NA,"CAE140DCBBCB54DF","union",0,NA,NA,NA,NA,NA,NA,NA,3,3,24,24,0,NA,NA,47,NA,2,0,0,0
522,10634253,19,"F",1992-09-20,522,6509845,NA,0,NA,0,0,0,0,0,2,NA,"F7787D19F167745C","child",1,522,NA,NA,NA,NA,NA,NA,3,3,10,10,1,NA,NA,NA,NA,5,2,3,0
522,4190171,15,"M",1996-11-07,522,6509845,NA,NA,NA,0,1,0,0,0,2,NA,"617C1CF80A864145","child",1,522,NA,NA,NA,NA,NA,NA,2,2,10,10,1,NA,NA,NA,NA,5,2,3,0
522,5282418,16,"M",1995-08-31,522,6509845,NA,NA,NA,0,1,0,0,0,2,NA,"7AE78DD0DBBCAF79","child",1,522,NA,NA,NA,NA,NA,NA,2,2,8,8,1,NA,NA,NA,NA,5,2,3,0
522,6509845,46,"M",1965-04-22,NA,NA,NA,NA,522,1,0,0,1,1,2,NA,"977EEFB5BFA2BD04","union_w_child",0,NA,NA,NA,NA,NA,NA,NA,3,3,24,24,0,NA,NA,46,NA,5,2,3,0
522,522,45,"F",1966-10-14,NA,NA,1996-11-07,3,6509845,1,0,1,0,1,2,25.9534246575342,"0002FA3203A18A77","union_w_child",0,NA,NA,NA,NA,NA,NA,NA,3,3,24,24,0,NA,NA,45,NA,5,2,3,0
587,635536,48,"F",1963-08-12,NA,NA,1989-04-01,2,587,1,0,1,0,1,4,22.7780821917808,"0ECF74D03F46AAC6","union_w_child",0,NA,NA,NA,NA,NA,NA,NA,3,3,24,24,0,NA,NA,48,NA,3,0,1,0
587,587,54,"M",1957-02-08,NA,NA,NA,NA,635536,1,0,0,1,1,4,NA,"00035777CACA492F","union_w_child",0,NA,NA,NA,NA,NA,NA,NA,3,3,30,30,0,NA,NA,54,NA,3,0,1,0
587,6550082,22,"F",1989-04-01,635536,587,NA,0,NA,0,0,0,0,0,4,NA,"986ED3F8CF9A2AD9","child",1,635536,NA,NA,NA,NA,NA,NA,3,3,14,14,1,NA,NA,NA,NA,3,0,1,0
865,865,64,"M",1947-10-31,NA,NA,NA,NA,5685793,1,0,0,0,0,2,NA,"00052742607AB865","union",0,NA,NA,NA,NA,NA,NA,NA,4,4,33,33,0,NA,NA,64,NA,2,0,0,0
865,5685793,62,"F",1949-06-22,NA,NA,NA,NA,865,1,0,0,0,0,2,NA,"8451B5E702003BB5","union",0,NA,NA,NA,NA,NA,NA,NA,4,4,33,33,0,NA,NA,62,NA,2,0,0,0
1119,7116380,2,"M",2009-08-04,7886129,1119,NA,NA,NA,0,1,0,0,0,2,NA,"A59B1BF373D35B0F","child",1,7886129,NA,NA,NA,NA,NA,NA,1,1,3,3,1,NA,NA,NA,NA,5,3,3,0
1119,2613899,6,"F",2005-05-20,7886129,1119,NA,NA,NA,0,1,0,0,0,2,NA,"3CD7C5084FC3C8E4","child",1,7886129,NA,NA,NA,NA,NA,NA,1,1,4,4,1,NA,NA,NA,NA,5,3,3,0
1119,7886129,35,"F",1976-07-13,NA,NA,2009-08-04,3,1119,1,0,1,0,1,2,28.8712328767123,"B78BA4CF586D344E","union_w_child",0,NA,NA,NA,NA,NA,NA,NA,3,3,19,19,0,NA,NA,35,NA,5,3,3,0
1119,1119,35,"M",1976-07-01,NA,NA,NA,NA,7886129,1,0,0,1,1,2,NA,"0006B1F9357A3295","union_w_child",0,NA,NA,NA,NA,NA,NA,NA,3,3,19,19,0,NA,NA,35,NA,5,3,3,0
1119,1543958,4,"F",2007-05-04,7886129,1119,NA,NA,NA,0,1,0,0,0,2,NA,"23F1C369C0254D82","child",1,7886129,NA,NA,NA,NA,NA,NA,1,1,4,4,1,NA,NA,NA,NA,5,3,3,0
1611,8700530,33,"M",1978-09-26,NA,NA,NA,NA,6016685,1,0,0,1,1,2,NA,"CA7C94A82C24B4B3","union_w_child",0,NA,NA,NA,NA,NA,NA,NA,3,3,17,17,0,NA,NA,33,NA,3,1,1,0
1611,1611,1,"F",2010-04-10,6016685,8700530,NA,NA,NA,0,1,0,0,0,2,NA,"0009A1DE9337AC5E","child",1,6016685,NA,NA,NA,NA,NA,NA,1,1,2,2,1,NA,NA,NA,NA,3,1,1,0
1611,6016685,28,"F",1983-02-01,NA,NA,2010-04-10,1,8700530,1,0,1,0,1,2,27.2054794520548,"8C03E2A9AE3DEA22","union_w_child",0,NA,NA,NA,NA,NA,NA,NA,3,3,17,17,0,NA,NA,28,NA,3,1,1,0
1849,3525194,39,"M",1972-03-29,NA,NA,NA,NA,1849,1,0,0,1,1,2,NA,"5208C2F69BEB4BCC","union_w_child",0,NA,NA,NA,NA,NA,NA,NA,3,3,21,21,0,NA,NA,39,NA,4,2,2,0
1849,8849088,6,"M",2005-03-31,1849,3525194,NA,NA,NA,0,1,0,0,0,2,NA,"CDEEE7AB6FEC7B8A","child",1,1849,NA,NA,NA,NA,NA,NA,1,1,4,4,1,NA,NA,NA,NA,4,2,2,0
1849,10860304,8,"F",2003-03-29,1849,3525194,NA,NA,NA,0,1,0,0,0,2,NA,"FCBDE47823D4B155","child",1,1849,NA,NA,NA,NA,NA,NA,1,1,5,5,1,NA,NA,NA,NA,4,2,2,0
1849,1849,37,"F",1974-02-20,NA,NA,2005-03-31,2,3525194,1,0,1,0,1,2,29.1205479452055,"000AF7E68BDCDEA9","union_w_child",0,NA,NA,NA,NA,NA,NA,NA,3,3,20,20,0,NA,NA,37,NA,4,2,2,0
2085,9661005,5,"M",2006-11-28,NA,NA,NA,NA,NA,0,1,0,0,0,1,NA,"E0D840D7508F2ECB","child",1,8948069,NA,NA,NA,NA,NA,NA,1,1,4,4,1,NA,NA,NA,NA,5,4,4,0
2085,6277009,6,"M",2005-07-23,NA,NA,NA,NA,NA,0,1,0,0,0,1,NA,"920F73E5AF2B3779","child",1,8948069,NA,NA,NA,NA,NA,NA,1,1,6,6,1,NA,NA,NA,NA,5,4,4,0
2085,2085,2,"M",2009-04-23,NA,NA,NA,NA,NA,0,1,0,0,0,1,NA,"000C4FDA4EBA91DF","child",1,8948069,NA,NA,NA,NA,NA,NA,1,1,3,3,1,NA,NA,NA,NA,5,4,4,0
2085,8948069,37,"F",1974-11-16,NA,NA,2009-04-23,4,NA,0,0,0,0,0,1,24.4821917808219,"D03EE6E40407510E","single_parent",1,NA,NA,NA,NA,NA,NA,NA,3,3,20,20,0,NA,NA,NA,NA,5,4,4,0
2085,4465428,12,"F",1999-05-05,NA,NA,NA,NA,NA,0,1,0,0,0,1,NA,"67E26FA0F9BF7DED","child",1,8948069,NA,NA,NA,NA,NA,NA,1,1,7,7,1,NA,NA,NA,NA,5,4,4,0
2624,9158469,60,"F",1951-11-22,NA,NA,NA,NA,2624,1,0,0,0,0,2,NA,"D52831C03234D41D","union",0,NA,NA,NA,NA,NA,NA,NA,3,3,31,31,0,NA,NA,60,NA,2,0,0,0
2624,2624,63,"M",1948-11-23,NA,NA,NA,NA,9158469,1,0,0,0,0,2,NA,"000F756C3914A0F5","union",0,NA,NA,NA,NA,NA,NA,NA,4,4,34,34,0,NA,NA,63,NA,2,0,0,0
2643,3175667,64,"F",1947-08-17,NA,NA,NA,NA,NA,0,0,0,0,0,2,NA,"49E6AA3A6CF44EEA","other",1,NA,NA,NA,NA,NA,NA,NA,4,4,32,32,0,NA,NA,NA,NA,2,0,0,0
2643,2643,43,"M",1968-06-20,NA,NA,NA,NA,NA,0,0,0,0,0,2,NA,"000F8EAB2805FB95","other",1,NA,NA,NA,NA,NA,NA,NA,3,3,23,23,0,NA,NA,NA,NA,2,0,0,0
3652,3654,56,"M",1955-07-08,NA,NA,NA,NA,NA,0,0,0,0,0,1,NA,"0015940B29A0DFEB","single",1,NA,NA,NA,NA,NA,NA,NA,3,3,30,30,0,NA,NA,NA,NA,1,0,0,0
5281,5285,62,"M",1949-12-26,NA,NA,NA,NA,3634083,1,0,0,0,0,2,NA,"001F582CA031284A","union",0,NA,NA,NA,NA,NA,NA,NA,4,4,31,31,0,NA,NA,62,NA,2,0,0,0
5281,3634083,63,"F",1948-05-02,NA,NA,NA,NA,5285,1,0,0,0,0,2,NA,"54904931C1315568","union",0,NA,NA,NA,NA,NA,NA,NA,4,4,32,32,0,NA,NA,63,NA,2,0,0,0
5903,5907,29,"F",1982-05-04,NA,NA,NA,0,NA,0,0,0,0,0,1,NA,"00231A2F83CB37F1","single",1,NA,NA,NA,NA,NA,NA,NA,3,3,17,17,0,NA,NA,NA,NA,1,0,0,0
5945,5949,38,"F",1973-06-09,NA,NA,2002-09-05,2,5162844,1,0,1,0,1,2,27.9808219178082,"00234E854CD70360","union_w_child",0,NA,NA,NA,NA,NA,NA,NA,3,3,21,21,0,NA,NA,38,NA,4,2,2,0
5945,2297040,9,"M",2002-09-05,5949,5162844,NA,NA,NA,0,1,0,0,0,2,NA,"3575895320134C02","child",1,5949,NA,NA,NA,NA,NA,NA,1,1,6,6,1,NA,NA,NA,NA,4,2,2,0
5945,5162844,41,"M",1970-04-29,NA,NA,NA,NA,5949,1,0,0,1,1,2,NA,"7820B5055EFFB6DD","union_w_child",0,NA,NA,NA,NA,NA,NA,NA,3,3,22,22,0,NA,NA,41,NA,4,2,2,0
5945,728232,10,"F",2001-05-26,5949,5162844,NA,NA,NA,0,1,0,0,0,2,NA,"10F50F8DCEF73F4F","child",1,5949,NA,NA,NA,NA,NA,NA,1,1,6,6,1,NA,NA,NA,NA,4,2,2,0
6500,6505,64,"M",1947-05-01,NA,NA,NA,NA,8802543,1,0,0,0,0,2,NA,"0026CC0C288E9483","union",0,NA,NA,NA,NA,NA,NA,NA,4,4,34,34,0,NA,NA,64,NA,2,0,0,0
6500,8802543,67,"F",1944-07-11,NA,NA,NA,NA,6505,1,0,0,0,0,2,NA,"CCDC0F2C5C4BDD66","union",0,NA,NA,NA,NA,NA,NA,NA,4,4,34,34,0,NA,NA,67,NA,2,0,0,0
6674,6680,34,"M",1977-02-23,NA,NA,NA,NA,NA,0,0,0,0,0,1,NA,"0027EF69E1DAC15D","single",1,NA,NA,NA,NA,NA,NA,NA,3,3,18,18,0,NA,NA,NA,NA,1,0,0,0
7010,7016,61,"M",1950-06-07,NA,NA,NA,NA,NA,0,0,0,0,0,1,NA,"002A040C27332025","single",1,NA,NA,NA,NA,NA,NA,NA,4,4,33,33,0,NA,NA,NA,NA,1,0,0,0
8248,9724562,36,"M",1975-09-26,NA,NA,NA,NA,2157730,1,0,0,1,1,2,NA,"E25249063CB96353","union_w_child",0,NA,NA,NA,NA,NA,NA,NA,3,3,18,18,0,NA,NA,36,NA,5,3,3,0
